,id,object_name,chain,object_type,address,number
1968,23531,Романтика,нет,кафе,"город Москва, улица Академика Скрябина, дом 8, корпус 3",42
1969,153599,Столовая «ГКБ им. С.П. Боткина»,нет,столовая,"город Москва, Большой Предтеченский переулок, дом 15/8, строение 1",70
1970,29132,Школа №1243,нет,столовая,"город Москва, Малый Кисловский переулок, дом 12/8, строение 1",40
1971,89318,Ресторан «Sabor de la vida»,нет,ресторан,"город Москва, улица 1905 Года, дом 10, строение 1",30
1972,24282,Ресторан «Маяк»,нет,ресторан,"город Москва, Большая Никитская улица, дом 19/13, строение 1",98
1973,20449,Буфет,нет,бар,"город Москва, Большая Никитская улица, дом 19/13, строение 1",26
1974,150889,Школа,нет,столовая,"город Москва, Леонтьевский переулок, дом 19/2, строение 1",200
1975,29131,Столовая «Прогимназия №1520»,нет,столовая,"город Москва, Леонтьевский переулок, дом 19/2, строение 1",50
1976,29144,Школа №110,нет,столовая,"город Москва, Столовый переулок, дом 10/2, строение 1",40
1977,29139,Школа №124,нет,столовая,"город Москва, Малая Бронная улица, дом 5-7, строение 1",40
1978,150162,Кафе «Му Му»,нет,кафе,"город Москва, Баррикадная улица, дом 21/34, строение 3",194
1979,24222,Ваби-Саби,да,кафе,"город Москва, Баррикадная улица, дом 21/34, строение 3",132
1980,125868,Кафе «Буфет»,нет,кафе,"город Москва, Малый Кисловский переулок, дом 11, строение 1",5
1981,27743,Столовая «МОСИНЖСТРОЙ»,нет,столовая,"город Москва, Малая Бронная улица, дом 15Б",25
1982,150888,Школа,нет,столовая,"город Москва, Большой Козихинский переулок, дом 5, строение 1",130
1983,29145,Школа №105,нет,столовая,"город Москва, Мукомольный проезд, дом 3, строение 1",40
1984,26492,То Да Сё,да,ресторан,"город Москва, Баррикадная улица, дом 2/1, строение 1",200
1985,129359,Кафе «Сильвер Панда»,нет,кафе,"город Москва, Баррикадная улица, дом 2/1, строение 1",48
1986,26447,Ресторан «TrueCost»,нет,ресторан,"город Москва, Тверской бульвар, дом 24, строение 1",110
1987,21491,Школа № 11,нет,столовая,"город Москва, Ломоносовский проспект, дом 13",38
1988,29068,Школа № 1,нет,столовая,"город Москва, Ломоносовский проспект, дом 21",38
1989,21952,МАКДОНАЛДС,да,предприятие быстрого обслуживания,"город Москва, улица Вавилова, дом 66",80
1990,80692,Кафе ИП Иванов,нет,кафе,"город Москва, улица Вавилова, дом 66",42
1991,80694,Кафе у Фонтана,нет,кафе,"город Москва, улица Вавилова, дом 66",11
1992,27669,БУФЕТ-РАЗДАТОЧНАЯ ПРИ ШК.9,нет,буфет,"город Москва, улица Новаторов, дом 34, корпус 1",30
1993,27667,СТОЛОВАЯ-ДОГОТОВОЧНАЯ ПРИ ШК. 611,нет,столовая,"город Москва, улица Новаторов, дом 34, корпус 2",120
1994,29448,Буфет ГБОУ «Школа №117»,нет,столовая,"город Москва, улица Гарибальди, дом 8, корпус 1",98
1995,29400,Буфет ГБОУ «МГПУ социальный институт»,нет,столовая,"город Москва, улица Марии Ульяновой, дом 21",60
1996,29394,Буфет ГБОУ «Школа № 7»,нет,столовая,"город Москва, улица Марии Ульяновой, дом 5А",90
1997,69786,Кафе «Мармелад»,нет,кафе,"город Москва, улица Шаболовка, дом 56",50
1998,152530,Столовая (закрытое),нет,столовая,"город Москва, Ленинский проспект, дом 8, корпус 5",50
1999,69831,Кафе «Хинкальная»,нет,кафе,"город Москва, Ленинский проспект, дом 89/2",30
2000,29447,Буфет ГБОУ «Школа №117»,нет,столовая,"город Москва, Ленинский проспект, дом 93А",86
2001,144839,Ресторан «Империя»,нет,ресторан,"город Москва, улица Шаболовка, дом 58",330
2002,26307,Жестокий Романс,нет,ресторан,"город Москва, Ленинский проспект, дом 105",46
2003,21553,Школа № 192,нет,столовая,"город Москва, Ленинский проспект, дом 34А",60
