,UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,Unnamed: 9
3960,065262,Привокзальная площадь,58485084,Привокзальная пл.,Privokzal`naya ploshhad`,004,,1005,77000002000455300,
3961,065300,улица Каменка,58485085,ул. Каменка,ulicza Kamenka,001,,1005,77000002000142600,
3962,065302,проектируемый проезд № 687,58485086,пр.пр. № 687,proektiruemy'j proezd № Shest`sot Vosem`desyat Sem`,032,,1005,77000002000453900,
3963,065311,улица Николая Злобина,58485087,ул. Николая Злобина,ulicza Nikolaya Zlobina,001,,1009,77000002000456100,
3964,065312,проезд № 4914,58485088,пр. № 4914,proezd № Chety're Ty'syachi Devyat`sot Chety'rnadczat`,003,,1009,77000002000457700,
3965,065313,проезд № 4919,58485089,пр. № 4919,proezd № Chety're Ty'syachi Devyat`sot Devyatnadczat`,003,,1009,77000002000457800,
3966,065315,проезд № 3,58485090,пр. № 3,proezd № Tri,003,,1012,77000002000457600,
3967,065316,Старокрюковский проезд,58485091,Старокрюковский пр.,Starokryukovskij proezd,003,,1012,77000002000457400,
3968,065318,улица Михайловка,58485092,ул. Михайловка,ulicza Mixajlovka,001,,1005,77000002000455400,
3969,065339,проезд № 673,58485093,пр. № 673,proezd № Shest`sot Sem`desyat Tri,003,,1005,77000002000457300,
3970,065342,Патриарший мост,58485094,Патриарший мост,Patriarshij most,011,,0109;0110,,
3971,065386,2-я Радиальная улица,58485095,2-я Радиальная ул.,Vtoraya Radial`naya ulicza,001,,0606,77000000000379900,
3972,065524,Рабочая улица,58485096,Рабочая ул.,Rabochaya ulicza,001,,1012,77000002000455000,
3973,066079,Сущёвский тупик,58485097,Сущёвский туп.,Sushhyovskij tupik,007,,0108,77000000000060500,
3974,066165,Строгинский мост,58485098,Строгинский мост,Stroginskij most,011,,0905;0907,,
3975,066292,Северо-Западный тоннель,58485099,Северо-Западный тоннель,Severo-Zapadny'j tonnel`,044,,0905;0806,,
3976,067131,улица Нижняя Хохловка,58485100,ул. Нижн. Хохловка,ulicza Nizhnyaya Xoxlovka,001,,0510,77000000000451900,
3977,067618,улица Щербакова,58485101,ул. Щербакова,ulicza Shherbakova,001,,1012,77000002000454400,
3978,068116,проектируемый проезд № 5372,58485102,пр.пр. № 5372,proektiruemy'j proezd № Pyat` Ty'syach Trista Sem`desyat Dva,032,,1011,,
3979,093001,Автозаводский мост,58485103,Автозаводский мост,Avtozavodskij most,011,,0609;0610,,
3980,093002,Аминьевский мост,58485104,Аминьевский мост,Amin`evskij most,011,,0819;0809;0820,,
3981,093003,Астаховский мост,58485105,Астаховский мост,Astaxovskij most,011,,0107,,
3982,093004,мост Багратион,58485106,мост Багратион,most Bagration,011,,0106;0805,,
3983,093005,Багрицкий мост,58485107,Багрицкий мост,Bagriczkij most,011,,0809,,
3984,093006,Бережковский мост,58485108,Бережковский мост,Berezhkovskij most,011,,0815;0109,,
3985,093007,Бесединский мост,58485110,Бесединский мост,Besedinskij most,011,,0608;0505,,
3986,093008,Богатырский мост,58485111,Богатырский мост,Bogaty'rskij most,011,,0418;0403,,
3987,093009,Верхний Борисовский мост,58485112,Верх. Борисовский мост,Verxnij Borisovskij most,011,,0616;0612,,
3988,093010,Нижний Борисовский мост,58485113,Нижн. Борисовский мост,Nizhnij Borisovskij most,011,,0616;0612,,
3989,093011,Бородинский мост,58485114,Бородинский мост,Borodinskij most,011,,0815;0109;0101,,
3990,093012,Высокояузский мост,58485115,Высокояузский мост,Vy'sokoyauzskij most,011,,0107,,
3991,093013,Глебовский мост,58485116,Глебовский мост,Glebovskij most,011,,0418;0403;0415,,
3992,093014,Госпитальный мост,58485117,Госпитальный мост,Gospital`ny'j most,011,,0507;0102,,
3993,093015,Давыдковский мост,58485118,Давыдковский мост,Davy'dkovskij most,011,,0820;0819,,
3994,093016,Дорогобужский мост,58485119,Дорогобужский мост,Dorogobuzhskij most,011,,0809,,
3995,093017,Зверев мост,58485120,Зверев мост,Zverev most,011,,0103,,
3996,093018,Иваньковский мост,58485121,Иваньковский мост,Ivan`kovskij most,011,,0903,,
3997,093019,Большой Каменный мост,58485122,Б. Каменный мост,Bol`shoj Kamenny'j most,011,,0108;0109;0110,,
3998,093020,Малый Каменный мост,58485123,М. Каменный мост,Maly'j Kamenny'j most,011,,0110,,
3999,093021,Карамышевский мост,58485124,Карамышевский мост,Karamy'shevskij most,011,,0906,,
4000,093022,Комиссариатский мост,58485125,Комиссариатский мост,Komissariatskij most,011,,0103,,
4001,093023,Костомаровский мост,58485126,Костомаровский мост,Kostomarovskij most,011,,0107,,
4002,093024,Большой Краснохолмский мост,58485127,Б. Краснохолмский мост,Bol`shoj Krasnoxolmskij most,011,,0107;0103,,
4003,UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,
4004,093025,Малый Краснохолмский мост,58485128,М. Краснохолмский мост,Maly'j Krasnoxolmskij most,011,,0103,,
4005,093026,Крылатский мост,58485129,Крылатский мост,Kry'latskij most,011,,0906;0806;0818,,
4006,093027,Крымский мост,58485130,Крымский мост,Kry'mskij most,011,,0109;0110,,
4007,093028,Ленинградский мост,58485131,Ленинградский мост,Leningradskij most,011,,0211,,
4008,093029,Лефортовский мост,58485132,Лефортовский мост,Lefortovskij most,011,,0102;0507,,
4009,093030,Лужнецкий мост,58485133,Лужнецкий мост,Luzhneczkij most,011,,0805;0815;0109,,
